,sepal.length,sepal.width,petal.length,petal.width,variety
0,5,3.5,1.4,0.2,Setosa
1,4,3.0,1.4,0.2,Setosa
2,4,3.2,1.3,0.2,Setosa
3,4,3.1,1.5,0.2,Setosa
4,5,3.6,1.4,0.2,Setosa
5,5,3.9,1.7,0.4,Setosa
6,4,3.4,1.4,0.3,Setosa
7,5,3.4,1.5,0.2,Setosa
8,4,2.9,1.4,0.2,Setosa
9,4,3.1,1.5,0.1,Setosa
10,5,3.7,1.5,0.2,Setosa
11,4,3.4,1.6,0.2,Setosa
12,4,3.0,1.4,0.1,Setosa
13,4,3.0,1.1,0.1,Setosa
14,5,4.0,1.2,0.2,Setosa
15,5,4.4,1.5,0.4,Setosa
16,5,3.9,1.3,0.4,Setosa
17,5,3.5,1.4,0.3,Setosa
18,5,3.8,1.7,0.3,Setosa
19,5,3.8,1.5,0.3,Setosa
20,5,3.4,1.7,0.2,Setosa
21,5,3.7,1.5,0.4,Setosa
22,4,3.6,1.0,0.2,Setosa
23,5,3.3,1.7,0.5,Setosa
24,4,3.4,1.9,0.2,Setosa
25,5,3.0,1.6,0.2,Setosa
26,5,3.4,1.6,0.4,Setosa
27,5,3.5,1.5,0.2,Setosa
28,5,3.4,1.4,0.2,Setosa
29,4,3.2,1.6,0.2,Setosa
30,4,3.1,1.6,0.2,Setosa
31,5,3.4,1.5,0.4,Setosa
32,5,4.1,1.5,0.1,Setosa
33,5,4.2,1.4,0.2,Setosa
34,4,3.1,1.5,0.2,Setosa
35,5,3.2,1.2,0.2,Setosa
36,5,3.5,1.3,0.2,Setosa
37,4,3.6,1.4,0.1,Setosa
38,4,3.0,1.3,0.2,Setosa
39,5,3.4,1.5,0.2,Setosa
40,5,3.5,1.3,0.3,Setosa
41,4,2.3,1.3,0.3,Setosa
42,4,3.2,1.3,0.2,Setosa
43,5,3.5,1.6,0.6,Setosa
44,5,3.8,1.9,0.4,Setosa
45,4,3.0,1.4,0.3,Setosa
46,5,3.8,1.6,0.2,Setosa
47,4,3.2,1.4,0.2,Setosa
48,5,3.7,1.5,0.2,Setosa
49,5,3.3,1.4,0.2,Setosa
50,7,3.2,4.7,1.4,Versicolor
51,6,3.2,4.5,1.5,Versicolor
52,6,3.1,4.9,1.5,Versicolor
53,5,2.3,4.0,1.3,Versicolor
54,6,2.8,4.6,1.5,Versicolor
55,5,2.8,4.5,1.3,Versicolor
56,6,3.3,4.7,1.6,Versicolor
57,4,2.4,3.3,1.0,Versicolor
